iter	MultiClassOneVsAll	F1:class=0	F1:class=1	F1:class=2	F1:class=3
322	-0.3761723124	0.8000457823	0.1075949367	0.4075829384	0.3742838956
323	-0.3760278435	0.8002289639	0.1079365079	0.408259587	0.3737244898
324	-0.3759453569	0.8001373626	0.1079365079	0.4089834515	0.374522293
325	-0.3758275374	0.8000457823	0.1077654517	0.4080188679	0.3721227621
326	-0.3757118246	0.8004122295	0.1137440758	0.4099232132	0.3747609943
327	-0.3755782425	0.8003207698	0.1139240506	0.4084755739	0.3724489796
328	-0.3754713452	0.8004124656	0.1139240506	0.4096527369	0.3747609943
329	-0.3753875435	0.8004584527	0.1163522013	0.4101355333	0.3757961783
330	-0.375243796	0.8006416132	0.1165354331	0.4091981132	0.3747609943
331	-0.3751406319	0.8006416132	0.1165354331	0.408259587	0.374522293
332	-0.3750412369	0.8006416132	0.1137440758	0.4098939929	0.373486297
333	-0.3749911248	0.8009169054	0.1167192429	0.4098939929	0.3742838956
334	-0.3748857038	0.8008251203	0.1167192429	0.4096527369	0.373486297
335	-0.3747127595	0.8011005388	0.1167192429	0.4112808461	0.373486297
336	-0.3745865238	0.8011005388	0.1167192429	0.4105882353	0.3742838956
337	-0.3743993849	0.8013305804	0.1196850394	0.4124559342	0.375079466
338	-0.3742854614	0.8012386742	0.1226415094	0.4124559342	0.3730108211
339	-0.3741953788	0.8013761468	0.1226415094	0.4124559342	0.3719745223
340	-0.3741043498	0.8015599908	0.1224489796	0.4110393423	0.3732484076
341	-0.3740440571	0.8016064257	0.1224489796	0.4107981221	0.3753180662
342	-0.373916116	0.8016064257	0.1222570533	0.4101057579	0.3763509218
343	-0.3737267911	0.8015144562	0.1253918495	0.4103468548	0.3763509218
344	-0.3735957277	0.8017439192	0.1253918495	0.4098939929	0.3781725888
345	-0.3734720109	0.8018359151	0.13125	0.4122497055	0.3784126984
346	-0.373339499	0.8017439192	0.1251956182	0.4136310223	0.378103119
347	-0.3732523405	0.8018359151	0.127925117	0.4134275618	0.3786531131
348	-0.3731000483	0.801974515	0.1283255086	0.4152941176	0.3840304183
349	-0.3729729981	0.8016993914	0.13125	0.4154929577	0.3822222222
350	-0.3728677692	0.801975649	0.1341653666	0.4159811986	0.3837872071
351	-0.3727616189	0.801883542	0.1341653666	0.4143613891	0.3845667299
352	-0.3726637819	0.80202113	0.1339563863	0.4139150943	0.384323641
353	-0.372514943	0.8021132422	0.1339563863	0.4157832744	0.3833017078
354	-0.3723677818	0.80202113	0.134375	0.4150943396	0.3863636364
355	-0.3722615296	0.8021599265	0.1339563863	0.4158298878	0.3901825047
356	-0.3721658568	0.8023442887	0.1368584759	0.4167650531	0.3901825047
357	-0.3720705573	0.8022988506	0.1364341085	0.4170112227	0.3899371069
358	-0.3719259971	0.8027132674	0.1393188854	0.4186871674	0.3917137476
359	-0.3718044663	0.8027132674	0.142194745	0.4189349112	0.3917137476
360	-0.3716887316	0.8026209909	0.142194745	0.4163701068	0.3897243108
361	-0.3715645676	0.8028978841	0.1452859351	0.4168146832	0.3884711779
362	-0.3714051791	0.8029902243	0.1424148607	0.4165680473	0.3907326237
363	-0.3713016957	0.8031278749	0.142194745	0.4173088322	0.3917396746
364	-0.3712107123	0.8034974689	0.142194745	0.4186871674	0.3917396746
365	-0.3711121654	0.8032202415	0.142194745	0.4170616114	0.3904881101
366	-0.3709706526	0.8034050385	0.1419753086	0.4172576832	0.3887147335
367	-0.3708556688	0.8034974689	0.1419753086	0.4172068356	0.3884349466
368	-0.3706993672	0.8035447117	0.1446153846	0.4198113208	0.3917137476
369	-0.3706348999	0.8036372007	0.1474654378	0.4200589971	0.391468005
370	-0.3704914592	0.8039147956	0.1474654378	0.4193168433	0.3902132999
371	-0.3704080307	0.8039147956	0.1474654378	0.4195639364	0.3912225705
372	-0.37030064	0.8039147956	0.1474654378	0.418385386	0.392476489
373	-0.3700907825	0.8040524983	0.1474654378	0.4186320755	0.392476489
374	-0.369951194	0.8042376785	0.1474654378	0.4217365623	0.395
375	-0.3698211317	0.8042852206	0.1474654378	0.4216725559	0.3942428035
376	-0.3697433988	0.8042852206	0.1443932412	0.4221046443	0.3937304075
377	-0.3696460649	0.8045156088	0.1472392638	0.4202472042	0.3934837093
378	-0.3695140112	0.8045156088	0.1470137825	0.4204946996	0.3947368421
